ano_diagnostico;mes_diagnostico;n
2007;Jan;636
2007;Fev;487
2007;Mar;665
2007;Abr;591
2007;Mai;593
2007;Jun;543
2007;Jul;687
2007;Ago;586
2007;Set;520
2007;Out;551
2007;Nov;482
2007;Dez;502
2008;Jan;618
2008;Fev;555
2008;Mar;663
2008;Abr;578
2008;Mai;572
2008;Jun;636
2008;Jul;649
2008;Ago;676
2008;Set;603
2008;Out;596
2008;Nov;537
2008;Dez;551
2009;Jan;596
2009;Fev;557
2009;Mar;708
2009;Abr;602
2009;Mai;632
2009;Jun;552
2009;Jul;583
2009;Ago;636
2009;Set;585
2009;Out;557
2009;Nov;577
2009;Dez;550
2010;Jan;559
2010;Fev;519
2010;Mar;701
2010;Abr;533
2010;Mai;557
2010;Jun;560
2010;Jul;657
2010;Ago;601
2010;Set;609
2010;Out;559
2010;Nov;586
2010;Dez;599
2011;Jan;601
2011;Fev;598
2011;Mar;586
2011;Abr;642
2011;Mai;698
2011;Jun;513
2011;Jul;619
2011;Ago;661
2011;Set;559
2011;Out;590
2011;Nov;586
2011;Dez;619
2012;Jan;694
2012;Fev;645
2012;Mar;732
2012;Abr;605
2012;Mai;682
2012;Jun;624
2012;Jul;713
2012;Ago;776
2012;Set;610
2012;Out;739
2012;Nov;610
2012;Dez;635
2013;Jan;695
2013;Fev;556
2013;Mar;700
2013;Abr;671
2013;Mai;653
2013;Jun;671
2013;Jul;669
2013;Ago;701
2013;Set;628
2013;Out;673
2013;Nov;625
2013;Dez;594
2014;Jan;674
2014;Fev;627
2014;Mar;583
2014;Abr;610
2014;Mai;645
2014;Jun;614
2014;Jul;734
2014;Ago;642
2014;Set;674
2014;Out;726
2014;Nov;594
2014;Dez;646
